Rank,Category,Subtopic,Question_Type,Prompt,Question_ID,Style
Primary,Hamartiology,Effects & Guilt of Sin,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of the effects and guilt of sin. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",P_H_EGO_012,pastoral_v2
Primary,Theology Proper,Attributes of God,pastoral,One of the young adults in your small group is dating a non-Christian and is being told that their differing views on the attributes of God don't really matter 'as long as we love each other.' How should you address this situation?,P_TP_AOG_012,pastoral_v2
Primary,Christology,Hypostatic Union,pastoral,A believer who struggles with assurance asks how the hypostatic union of Christ relates to their personal standing before God and their daily walk with Christ. What would you tell them?,P_C_HU_009,pastoral_v2
Secondary,Ecclesiology,Church Government & Polity,pastoral,"A couple in your church has just lost their 4-year-old child to cancer. In the weeks that follow, they ask you pointed questions about church government and polity in light of their pain. How do you respond?",S_E_CGP_007,pastoral_v2
Secondary,Ecclesiology,Discipline & Unity,objective,"How does church discipline and the unity of the church fit within the broader system of Christian theology? Identify two other doctrines it most directly supports or is supported by, and explain the connections.",S_E_DU_003,objective_v2
Primary,Hamartiology,Effects & Guilt of Sin,pastoral,"A couple in your church has just lost their 4-year-old child to cancer. In the weeks that follow, they ask you pointed questions about the effects and guilt of sin in light of their pain. How do you respond?",P_H_EGO_011,pastoral_v2
Primary,Soteriology,Justification by Faith,objective,What are the central distinctions or nuances that must be maintained when teaching justification by faith alone in order to remain faithful to historic orthodoxy?,P_S_JBF_006,objective_v2
Secondary,Anthropology (roles),Image of God,pastoral,"In what ways does the image of God in humanity connect to the life, death, and resurrection of Jesus Christ?",S_AR_IOG_013,coherence_application_v2
Primary,Trinitarianism,Unity of Essence,objective,A popular online teacher claims that the unity of essence in the Trinity is a later church invention and not clearly taught in the Bible. A young believer in your group is confused. How do you respond?,P_T_UOE_014,adversarial_precision_v2
Secondary,Eucharist,Presence of Christ,objective,Describe the historic confessional understanding of the presence of Christ in the Lord's Supper as articulated in the major creeds and Reformation confessions. Include key supporting texts.,S_E_POC_001,objective_v2
Secondary,Eucharist,Nature of the Lord's Supper,pastoral,"A couple in your church has just lost their 4-year-old child to cancer. In the weeks that follow, they ask you pointed questions about the nature of the Lord's Supper in light of their pain. How do you respond?",S_E_NOT_008,pastoral_v2
Tertiary,Ethics,Sanctification in Daily Life,pastoral,"A thoughtful skeptic who is exploring Christianity says: 'I can accept that Jesus was a good teacher, but I don't see why sanctification in everyday Christian life matters or why Christians fight about it.' How do you respond with clarity and compassion?",T_E_SID_005,pastoral_v2
Tertiary,Eschatology,Millennium Views,objective,"How should a clear understanding of millennial views (pre-, post-, and a-millennialism) inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",T_E_MV_002,objective_v2
Primary,Hamartiology,Nature of Sin,objective,"In a discussion, a participant says that historic formulations of the nature of sin are culturally conditioned and should be revised for modern sensibilities. What is at stake if we do that?",P_H_NOS_017,adversarial_precision_v2
Secondary,Anthropology (roles),Gender & Sexuality,pastoral,A new Christian has been reading popular books that treat gender and human sexuality as a 'secondary issue' but are using that claim to downplay the importance of core gospel truths. How do you help them think about the proper weight of this doctrine using theological triage?,S_AR_GS_004,pastoral_v2
Primary,Soteriology,Justification by Faith,objective,"How should a clear understanding of justification by faith alone inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",P_S_JBF_003,objective_v2
Primary,Soteriology,Justification by Faith,pastoral,"A faithful Christian friend from a different tradition (e.g., a Presbyterian talking to a Baptist, or vice versa) asks you why your church practices justification by faith alone differently from theirs. How do you explain your position while maintaining genuine respect and unity in the gospel?",P_S_JBF_012,pastoral_v2
Primary,Prolegomena,Revelation (General & Special),pastoral,A parent in your congregation wants help explaining general and special revelation to their 10-year-old and 14-year-old children in age-appropriate ways without watering down the truth. What guidance and resources would you give?,P_P_RGS_010,pastoral_v2
Primary,Hamartiology,Nature of Sin,objective,What are the central distinctions or nuances that must be maintained when teaching the nature of sin in order to remain faithful to historic orthodoxy?,P_H_NOS_002,objective_v2
Primary,Christology,Deity of Christ,objective,A popular online teacher claims that the deity of Christ is a later church invention and not clearly taught in the Bible. A young believer in your group is confused. How do you respond?,P_C_DOC_015,adversarial_precision_v2
Primary,Trinitarianism,Distinction of Persons,objective,"Explain the doctrine of eternal relations of origin (paternity, filiation, spiration) without falling into subordinationism or modalism. Why does this matter?",P_T_DOP_005,hand_curated_precision_v2
Primary,Christology,Deity of Christ,pastoral,"A Muslim friend says, 'We honor Jesus as a great prophet, but calling him God is blasphemous.' How do you respond from Scripture in a conversation that is respectful but clear about the exclusive claims of Christ?",P_C_DOC_005,hand_curated_precision_v2
Primary,Theology Proper,Existence of God,pastoral,"In a Bible study, someone asks how the existence of God should shape a Christian's response to current cultural debates around [identity / authority / suffering / sexuality / end times]. Give a biblically grounded, pastorally wise answer.",P_TP_EOG_011,pastoral_v2
Primary,Bibliology,Inspiration,pastoral,One of the young adults in your small group is dating a non-Christian and is being told that their differing views on the inspiration of Scripture don't really matter 'as long as we love each other.' How should you address this situation?,P_B_I_013,pastoral_v2
Tertiary,Eschatology,Timing of Christ's Return,objective,What are the most important scriptural passages supporting the timing of Christ's return? How should this doctrine shape the everyday life of a believer?,T_E_TOC_001,objective_v2
